Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
13044102	Башкирия	591	0	1	0	0	1	0
186143784	NA	591	0	0	1	0	0	1
181579233	NA	591	0	0	1	0	0	1
2040853	Москва	590	0	1	0	0	1	0
12854156	Россия	590	0	0	1	0	0	1
206215777	Пермский край	590	0	1	0	0	1	0
194527023	NA	590	0	0	1	0	0	1
155343462	NA	590	0	0	1	0	0	1
234824636	Пензенская область	590	0	1	0	0	2	0
128105357	Россия	590	0	0	1	0	0	1
8168875	NA	590	0	0	1	0	0	1
109746193	Черниговская область	590	0	1	0	0	1	0
183481429	NA	590	0	0	1	0	0	1
22289534	Волынская область	590	0	1	0	0	1	0
20631788	Ровненская область	590	1	0	0	1	0	0
248840952	Днепропетровская область	590	0	1	0	0	1	0
193909082	NA	590	0	0	1	0	0	2
51000860	Харьковская область	590	0	1	0	0	1	0
73264292	Россия	590	0	0	1	0	0	1
31433111	Николаевская область	589	0	1	0	0	2	0
69361567	Одесская область	589	1	0	0	1	0	0
7073928	NA	589	0	0	1	0	0	1
5220381	Россия	589	0	0	1	0	0	1
25661226	NA	589	0	0	1	0	0	1
116110259	NA	589	0	0	1	0	0	1
18707525	Крым	589	0	1	0	0	1	0
1480252	Мурманская область	589	0	1	0	0	1	0
10424333	Крым	589	1	0	0	1	0	0
220948450	NA	589	0	0	1	0	0	1
221907748	Пермский край	589	0	1	0	0	1	0
245100916	NA	589	0	0	1	0	0	1
250586407	NA	589	0	0	1	0	0	1
57563577	Россия	589	0	0	1	0	0	1
251178724	NA	589	0	0	1	0	0	1
12754156	NA	589	0	0	2	0	0	5
167372078	NA	589	0	0	1	0	0	1
207594913	Россия	589	0	0	1	0	0	1
22826100	NA	589	0	0	1	0	0	1
67143484	Челябинская область	589	1	0	0	1	0	0
244926189	NA	589	0	0	1	0	0	1
233878875	Казахстан	589	1	0	0	2	0	0
15149684	Новосибирская область	589	1	0	0	1	0	0
2284580	Москва	588	0	1	0	0	1	0
69534	Воронежская область	588	3	0	0	3	0	0
210814760	NA	588	0	0	1	0	0	1
30706240	Москва	588	0	1	0	0	1	0
137900490	NA	588	0	0	1	0	0	1
9006945	Волгоградская область	588	0	1	0	0	1	0
170988211	NA	588	0	0	1	0	0	2
219004	Архангельская область	588	1	0	0	1	0	0
123116094	Тюменская область	588	1	0	0	1	0	0
176269619	Липецкая область	588	0	1	0	0	2	0
155915098	NA	588	0	0	1	0	0	1
69940215	NA	588	0	0	1	0	0	1
51094631	Украина	588	1	0	0	1	0	0
109032	Россия	588	0	0	1	0	0	1
135241765	NA	588	0	0	1	0	0	1
124545266	Московская область	588	1	0	0	1	0	0
14452744	Россия	588	0	0	1	0	0	1
168788763	Гродненская область	588	0	1	0	0	1	0
147807199	NA	588	0	0	1	0	0	2
152624341	NA	588	0	0	1	0	0	1
249203287	Вологодская область	588	0	1	0	0	1	0
177499000	Челябинская область	588	1	0	0	1	0	0
135083664	NA	588	0	0	1	0	0	1
138011685	Забайкальский край	588	1	0	0	1	0	0
74665314	Россия	588	0	0	1	0	0	2
118303630	NA	588	0	0	1	0	0	2
233651546	Россия	588	0	0	1	0	0	1
245804234	NA	588	0	0	1	0	0	1
18060430	Волынская область	588	1	0	0	1	0	0
14566990	NA	588	0	0	1	0	0	1
250443763	Москва	588	0	1	0	0	1	0
165444012	Украина	587	0	1	0	0	1	0
238543078	Новосибирская область	587	0	1	0	0	1	0
184642066	NA	587	0	0	1	0	0	1
36100729	Украина	587	1	0	0	1	0	0
180969010	Москва	587	0	1	0	0	2	0
39422814	Минск	587	0	0	1	0	0	1
143516938	Татарстан	587	0	1	0	0	1	0
245149278	Казахстан	587	1	0	0	2	0	0
13211204	Германия	587	0	0	3	0	0	4
250146646	NA	587	0	0	1	0	0	1
4535058	Москва	587	0	1	0	0	1	0
18857187	Россия	587	0	0	1	0	0	1
237283115	Россия	587	0	0	1	0	0	1
245879022	NA	587	0	0	1	0	0	1
137987939	Ленинградская область	587	0	1	0	0	1	0
214183527	Тверская область	587	0	1	0	0	1	0
169928567	Рязанская область	587	1	0	0	1	0	0
174896476	NA	587	0	0	1	0	0	1
48717691	Челябинская область	587	1	0	0	1	0	0
132202015	NA	587	0	0	1	0	0	1
203229969	NA	587	0	0	1	0	0	2
109439552	Челябинская область	586	0	1	0	0	1	0
12071608	NA	586	0	0	1	0	0	1
97023520	NA	586	0	0	1	0	0	1
193006896	Россия	586	0	0	1	0	0	1
212956564	NA	586	0	0	2	0	0	3
199000449	Украина	586	1	0	0	1	0	0
144450140	Минск	586	0	0	1	0	0	2
193734412	Красноярский край	586	0	1	0	0	1	0
31169142	Москва	586	0	1	0	0	1	0
181057695	Россия	586	0	0	1	0	0	1
16573057	Волынская область	586	1	0	0	1	0	0
4017720	Ростовская область	586	0	1	0	0	2	0
211647419	Краснодарский край	586	0	1	0	0	1	0
26024672	Одесская область	586	0	1	0	0	2	0
60737518	NA	586	0	0	1	0	0	1
222648957	Москва	586	0	1	0	0	1	0
152824433	Тульская область	586	0	1	0	0	1	0
32753994	Крым	586	2	0	0	2	0	0
71747482	Россия	586	0	0	1	0	0	1
5093099	Москва	586	0	1	0	0	1	0
233607544	NA	586	0	0	1	0	0	1
81888560	Россия	586	0	0	1	0	0	1
248363775	NA	586	0	0	1	0	0	1
14598839	NA	586	0	0	2	0	0	2
189867887	Хабаровский край	586	1	0	0	1	0	0
183010504	NA	586	0	0	1	0	0	2
244340079	Россия	585	0	0	1	0	0	1
86805928	Челябинская область	585	1	1	0	1	2	0
3588182	Киев	585	1	0	0	1	0	0
131921510	NA	585	0	0	1	0	0	1
152677430	Россия	585	0	0	1	0	0	1
152594046	Днепропетровская область	585	0	1	0	0	1	0
1451190	NA	585	0	0	1	0	0	1
212995254	Самарская область	585	0	1	0	0	1	0
141634797	Львовская область	585	0	1	0	0	1	0
