Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
каракат	3	3	9	9	14	25.00	25.00	25.00	25.00	0.03	0.00	0.03	0.01	1.15	0.00	0.00	0.00	0.00	1.00
хилять	5	5	38	38	43	11.63	11.63	13.51	13.51	0.08	0.00	0.05	0.00	1.65	0.00	0.29	0.00	0.67	1.00
микраш	0	0	7	7	9	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
сахалярка	1	1	1	1	0	50.00	50.00	50.00	50.00	0.02	0.00	0.01	0.00	2.89	0.00	0.00	0.00	0.00	1.00
гомонок	1	1	3	3	0	25.00	25.00	33.33	33.33	0.01	0.00	0.01	0.00	0.49	0.00	0.51	0.00	1.00	1.00
чирус	1	1	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
пухто	0	0	4	4	17	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	1.00	1.00
сгондобить	0	0	3	3	4	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
сырть	0	0	1	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кунять	3	3	7	7	4	30.00	30.00	37.50	37.50	0.00	0.00	0.02	0.00	0.02	0.00	0.98	0.00	1.00	1.00
автомиг	0	0	7	7	19	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
чебак	5	5	6	6	10	45.45	45.45	55.56	55.56	0.01	0.00	0.01	0.00	1.87	0.00	0.19	0.00	0.38	1.00
оренский	1	1	1	1	1	50.00	50.00	100.00	100.00	0.01	0.00	0.00	0.00	21.27	0.00	0.00	0.00	0.00	1.00
шибаться	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
растренькать	0	0	2	2	1	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кульбик	1	1	0	0	0	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
единка	0	0	2	2	3	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
лямой	0	0	15	15	6	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	1.00	1.00
красовский	3	3	108	108	92	2.70	2.70	3.75	3.75	0.00	0.00	0.19	0.03	0.01	0.00	0.99	0.00	1.00	1.00
карпалить	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
